,Unnamed: 0,article_id,article_url,comment_count,year,date,title,datetimeobject
768,41875,1161,https://www.nytimes.com/video/world/europe/100000007493193/britain-united-kingdom-coronavirus-vaccine.html,0,2020,01/01/1975,britain united kingdom coronavirus vaccine,1975-01-01
769,41816,1102,https://www.nytimes.com/video/world/100000007492334/coronavirus-vaccine-united-kingdom.html,0,2020,01/01/1975,coronavirus vaccine united kingdom,1975-01-01
770,41711,997,https://www.nytimes.com/video/world/europe/100000007491306/france-coronavirus-case-numbers.html,0,2020,01/01/1975,france coronavirus case numbers,1975-01-01
783,41424,710,https://www.nytimes.com/video/world/canada/100000007487480/manitoba-coronavirus.html,0,2020,01/01/1975,manitoba coronavirus,1975-01-01
784,41414,700,https://www.nytimes.com/video/us/politics/100000007487064/pence-coronavirus-vaccine-cdc.html,0,2020,01/01/1975,pence coronavirus vaccine cdc,1975-01-01
785,41256,542,https://www.nytimes.com/video/us/politics/100000007485724/newsom-california-stay-at-home-coronavirus-restrictions.html,0,2020,01/01/1975,newsom california stay at home coronavirus restrictions,1975-01-01
786,41221,507,https://www.nytimes.com/video/us/politics/100000007485350/staten-island-coronavirus-bar-protest.html,0,2020,01/01/1975,staten island coronavirus bar protest,1975-01-01
788,41207,493,https://www.nytimes.com/video/us/politics/100000007485155/de-blasio-coronavirus-new-york.html,0,2020,01/01/1975,de blasio coronavirus new york,1975-01-01
797,30283,3173,https://www.nytimes.com/video/world/europe/100000007405111/ireland-coronavirus-lockdown.html,0,2020,01/01/1975,ireland coronavirus lockdown,1975-01-01
798,30176,3066,https://www.nytimes.com/video/us/politics/100000007403921/california-newsom-coronavirus-vaccine.html,0,2020,01/01/1975,california newsom coronavirus vaccine,1975-01-01
799,30158,3048,https://www.nytimes.com/video/us/politics/100000007403643/new-jersey-coronavirus-increase.html,0,2020,01/01/1975,new jersey coronavirus increase,1975-01-01
811,29626,2516,https://www.nytimes.com/video/world/europe/100000007397639/london-mayor-coronavirus-restrictions.html,0,2020,01/01/1975,london mayor coronavirus restrictions,1975-01-01
815,29448,2338,https://www.nytimes.com/video/us/politics/100000007395805/bill-de-blasio-new-york-city-coronavirus.html,0,2020,01/01/1975,bill de blasio new york city coronavirus,1975-01-01
847,30722,3612,https://www.nytimes.com/video/us/politics/100000007409785/pelosi-coronavirus-stimulus-negotiations.html,0,2020,01/01/1975,pelosi coronavirus stimulus negotiations,1975-01-01
853,30485,3375,https://www.nytimes.com/video/us/politics/100000007407602/new-york-ease-coronavirus-restrictions.html,0,2020,01/01/1975,new york ease coronavirus restrictions,1975-01-01
862,29038,1928,https://www.nytimes.com/video/world/europe/100000007391187/boris-johnson-tiered-cotronavirus-lockdown.html,0,2020,01/01/1975,boris johnson tiered cotronavirus lockdown,1975-01-01
864,28281,1171,https://www.nytimes.com/video/us/politics/100000007383276/bill-de-blasio-new-york-coronavirus-clusters-restrictions.html,0,2020,01/01/1975,bill de blasio new york coronavirus clusters restrictions,1975-01-01
871,28090,980,https://www.nytimes.com/video/us/politics/100000007381083/cuomo-restrictions-coronavirus-clusters-new-york.html,0,2020,01/01/1975,cuomo restrictions coronavirus clusters new york,1975-01-01
878,27859,749,https://www.nytimes.com/video/us/politics/100000007378775/cuomo-new-york-school-closings-coronavirus.html,0,2020,01/01/1975,cuomo new york school closings coronavirus,1975-01-01
885,27661,551,https://www.nytimes.com/video/us/politics/100000007376654/trump-health-coronavirus-update.html,0,2020,01/01/1975,trump health coronavirus update,1975-01-01
888,27579,469,https://www.nytimes.com/video/us/politics/100000007375894/trump-walter-reed-coronavirus.html,0,2020,01/01/1975,trump walter reed coronavirus,1975-01-01
891,27512,402,https://www.nytimes.com/video/us/politics/100000007375048/azar-trump-administration-coronavirus-response.html,0,2020,01/01/1975,azar trump administration coronavirus response,1975-01-01
909,28697,1587,https://www.nytimes.com/video/world/europe/100000007387171/madrid-coronavirus-lockdown.html,0,2020,01/01/1975,madrid coronavirus lockdown,1975-01-01
913,28527,1417,https://www.nytimes.com/video/us/politics/100000007385603/pelosi-coronavirus-airline-stimulus-aid.html,0,2020,01/01/1975,pelosi coronavirus airline stimulus aid,1975-01-01
914,28520,1410,https://www.nytimes.com/video/us/politics/100000007385493/orthodox-jewish-brooklyn-coronavirus-protests.html,0,2020,01/01/1975,orthodox jewish brooklyn coronavirus protests,1975-01-01
926,28578,1468,https://www.nytimes.com/video/world/europe/100000007386412/france-coronavirus-restrictions.html,0,2020,01/01/1975,france coronavirus restrictions,1975-01-01
927,27491,381,https://www.nytimes.com/video/us/politics/100000007374748/mark-meadows-trump-coronavirus-protocols.html,0,2020,01/01/1975,mark meadows trump coronavirus protocols,1975-01-01
937,34174,2114,https://www.nytimes.com/video/us/politics/100000007444937/de-blasio-new-york-virus-spike-restrictions.html,0,2020,01/01/1975,de blasio new york virus spike restrictions,1975-01-01
938,34172,2112,https://www.nytimes.com/video/us/politics/100000007445000/biden-coronavirus-briefing.html,0,2020,01/01/1975,biden coronavirus briefing,1975-01-01
939,34165,2105,https://www.nytimes.com/video/us/politics/100000007444602/biden-coronavirus-briefing.html,0,2020,01/01/1975,biden coronavirus briefing,1975-01-01
1007,31592,4482,https://www.nytimes.com/video/us/politics/100000007417840/tech-leaders-senate-live-video.html,0,2020,01/01/1975,tech leaders senate live video,1975-01-01
1012,31408,4298,https://www.nytimes.com/video/world/europe/100000007417616/italy-virus-lockdown-protests.html,0,2020,01/01/1975,italy virus lockdown protests,1975-01-01
1018,31252,4142,https://www.nytimes.com/video/us/politics/100000007416212/newark-coronavirus-shutdowns.html,0,2020,01/01/1975,newark coronavirus shutdowns,1975-01-01
1023,31228,4118,https://www.nytimes.com/video/us/politics/100000007415838/oronavirus-new-york-public-schools.html,0,2020,01/01/1975,oronavirus new york public schools,1975-01-01
1055,32326,266,https://www.nytimes.com/video/world/europe/100000007430529/vienna-terrorist-attack.html,0,2020,01/01/1975,vienna terrorist attack,1975-01-01
1056,32293,233,https://www.nytimes.com/video/us/elections/100000007429988/nyc-businesses-boarded-up-election-unrest.html,0,2020,01/01/1975,nyc businesses boarded up election unrest,1975-01-01
1057,32291,231,https://www.nytimes.com/video/world/europe/100000007429934/merkel-germany-coronavirus-lockdown-light.html,0,2020,01/01/1975,merkel germany coronavirus lockdown light,1975-01-01
1146,33,34,https://www.nytimes.com/2020/01/01/us/politics/elizabeth-warren-medicare-for-all.html,0,2020,01/01/2020,elizabeth warren medicare for all,2020-01-01
1170,37,38,https://www.nytimes.com/2020/01/01/business/economy/china-economy-reserve-requirement-ratio.html,0,2020,01/01/2020,china economy reserve requirement ratio,2020-01-01
1185,4558,4559,https://www.nytimes.com/2020/02/01/world/asia/china-coronavirus.html,481,2020,01/02/2020,china coronavirus,2020-01-02
1188,4575,4576,https://www.nytimes.com/2020/02/01/world/asia/china-coronavirus-us-australia.html,0,2020,01/02/2020,china coronavirus us australia,2020-01-02
1248,4539,4540,https://www.nytimes.com/2020/02/01/business/coronavirus-business-travel.html,0,2020,01/02/2020,coronavirus business travel,2020-01-02
1259,8796,8797,https://www.nytimes.com/2020/03/01/world/europe/virus-italy-churches.html,0,2020,01/03/2020,virus italy churches,2020-01-03
1264,8794,8795,https://www.nytimes.com/2020/03/01/us/coronavirus-us-politics.html,0,2020,01/03/2020,coronavirus us politics,2020-01-03
1267,8791,8792,https://www.nytimes.com/2020/03/01/business/stock-market-coronavirus.html,0,2020,01/03/2020,stock market coronavirus,2020-01-03
1274,8793,8794,https://www.nytimes.com/2020/03/01/business/economy/trump-democrats-coronavirus-economy.html,0,2020,01/03/2020,trump democrats coronavirus economy,2020-01-03
1276,8812,8813,https://www.nytimes.com/2020/03/01/business/china-coronavirus-surveillance.html,58,2020,01/03/2020,china coronavirus surveillance,2020-01-03
1294,8806,8807,https://www.nytimes.com/2020/03/01/world/middleeast/israel-election-coronavirus.html,0,2020,01/03/2020,israel election coronavirus,2020-01-03
1306,8746,8747,https://www.nytimes.com/interactive/2020/03/01/world/asia/afghanistan-invisible-war.html,0,2020,01/03/2020,afghanistan invisible war,2020-01-03
1308,8744,8745,https://www.nytimes.com/2020/03/01/world/europe/coronavirus-movie-italy-decameron.html,0,2020,01/03/2020,coronavirus movie italy decameron,2020-01-03
1312,8740,8741,https://www.nytimes.com/2020/03/01/world/coronavirus-news.html,0,2020,01/03/2020,coronavirus news,2020-01-03
1330,8775,8776,https://www.nytimes.com/2020/03/01/world/asia/afghanistan-war-troops-cia.html,26,2020,01/03/2020,afghanistan war troops cia,2020-01-03
1336,8769,8770,https://www.nytimes.com/2020/03/01/business/coronavirus-working-from-home.html,0,2020,01/03/2020,coronavirus working from home,2020-01-03
1346,8756,8757,https://www.nytimes.com/2020/03/01/business/the-week-in-business-it-was-all-about-the-coronavirus.html,0,2020,01/03/2020,the week in business it was all about the coronavirus,2020-01-03
1378,13708,105,https://www.nytimes.com/2020/07/01/business/economic-recovery-virus-surge.html,0,2020,01/07/2020,economic recovery virus surge,2020-01-07
1389,13691,88,https://www.nytimes.com/2020/07/01/world/hong-kong-security-law-fear.html,47,2020,01/07/2020,hong kong security law fear,2020-01-07
1398,13700,97,https://www.nytimes.com/2020/07/01/world/europe/coronavirus-europe-usa.html,83,2020,01/07/2020,coronavirus europe usa,2020-01-07
1410,13771,168,https://www.nytimes.com/2020/07/01/business/energy-environment/pge-bankruptcy-ends.html,0,2020,01/07/2020,pge bankruptcy ends,2020-01-07
1444,13748,145,https://www.nytimes.com/2020/07/01/us/politics/coronavirus-us-embassy-saudi-arabia.html,45,2020,01/07/2020,coronavirus us embassy saudi arabia,2020-01-07
1448,13751,148,https://www.nytimes.com/2020/07/01/us/politics/small-business-loans-extended.html,0,2020,01/07/2020,small business loans extended,2020-01-07
1483,13623,20,https://www.nytimes.com/2020/07/01/business/media/china-journalists-crackdown.html,0,2020,01/07/2020,china journalists crackdown,2020-01-07
1503,13666,63,https://www.nytimes.com/2020/07/01/world/asia/hong-kong-security-law-china.html,227,2020,01/07/2020,hong kong security law china,2020-01-07
1504,13665,62,https://www.nytimes.com/2020/07/01/business/stock-market-today-coronavirus.html,0,2020,01/07/2020,stock market today coronavirus,2020-01-07
1505,13664,61,https://www.nytimes.com/2020/07/01/us/politics/biden-trump-coronavirus.html,0,2020,01/07/2020,biden trump coronavirus,2020-01-07
1506,13663,60,https://www.nytimes.com/2020/07/01/business/dealbook/stocks-quarter-guidance.html,0,2020,01/07/2020,stocks quarter guidance,2020-01-07
1517,13657,54,https://www.nytimes.com/2020/07/01/world/asia/taiwan-china-hong-kong.html,39,2020,01/07/2020,taiwan china hong kong,2020-01-07
1519,13659,56,https://www.nytimes.com/2020/07/01/world/coronavirus-updates.html,633,2020,01/07/2020,coronavirus updates,2020-01-07
1526,18095,33,https://www.nytimes.com/2020/08/01/world/africa/ethiopian-migrant-workers-coronavirus.html,0,2020,01/08/2020,ethiopian migrant workers coronavirus,2020-01-08
1535,18090,28,https://www.nytimes.com/2020/08/01/world/coronavirus-covid-19.html,0,2020,01/08/2020,coronavirus covid 19,2020-01-08
1548,18089,27,https://www.nytimes.com/2020/08/01/world/asia/iran-khamenei-us-sanctions.html,0,2020,01/08/2020,iran khamenei us sanctions,2020-01-08
1549,18087,25,https://www.nytimes.com/2020/08/01/world/asia/coronavirus-vaccine-india.html,100,2020,01/08/2020,coronavirus vaccine india,2020-01-08
1554,18085,23,https://www.nytimes.com/2020/08/01/business/economy/housing-overcrowding-coronavirus.html,0,2020,01/08/2020,housing overcrowding coronavirus,2020-01-08
1556,18081,19,https://www.nytimes.com/2020/08/01/world/europe/russia-moscow-coronavirus.html,0,2020,01/08/2020,russia moscow coronavirus,2020-01-08
1587,22675,174,https://www.nytimes.com/2020/09/01/business/economy/mnuchin-coronavirus.html,0,2020,01/09/2020,mnuchin coronavirus,2020-01-09
